ticker;company;sector;industry;description
MSFT;Microsoft;Технологии;Программное обеспечение - Инфраструктура;"Корпорация Майкрософт является технологической компанией. Компания разрабатывает, лицензирует и поддерживает ряд программных продуктов, услуг и устройств. Сегменты компании включают производительность и бизнес-процессы, интеллектуальное облако и другие персональные вычисления. Продукты компании включают операционные системы; приложения для повышения производительности на разных устройствах; серверные приложения; приложения для бизнес-решений; инструменты управления рабочим столом и сервером; средства разработки программного обеспечения; видеоигры, а также обучение и сертификация системных интеграторов и разработчиков. Компания разрабатывает, производит и продает устройства, включая персональные компьютеры (ПК), планшеты, игровые и развлекательные консоли, телефоны, другие интеллектуальные устройства и сопутствующие аксессуары, которые интегрируются с его облачными предложениями. Она предлагает ряд услуг, включая облачные решения, которые предоставляют клиентам программное обеспечение, услуги, платформы и контент, а также предоставляет поддержку решений и консультационные услуги."
AAPL;Apple;Технологии;Программное обеспечение - Инфраструктура;Apple  — американская корпорация, разработчик персональных и планшетных компьютеров, аудиоплееров, смартфонов, программного обеспечения и цифрового контента. Штаб-квартира расположена в Купертино, штат Калифорния. Практически вся продукция Apple выпускается контрактными производителями на заводах в Азии, крупнейшим подрядчиком является тайваньская компания Foxconn, крупнейший завод — в Чжэнчжоу. Один из пионеров в области персональных компьютеров и современных многозадачных операционных систем с графическим интерфейсом. Более половины продаж компании приходится на iPhone, на 2021 год в мире использовалось около 900 млн таких смартфонов. Крупнейшим рынком для компании являются США, также значительна доля в выручке Китая, Японии и ряда стран Европы. В августе 2018 года Apple стала первой американской компанией, чья рыночная капитализация превысила 1 трлн долларов США, и самой дорогой публичной компанией за всю историю, обойдя предыдущего рекордсмена — компанию PetroChina (1,005 трлн долларов в ноябре 2007 года). 30 июня 2023 года Apple стала первой компанией в мире, рыночная капитализация которой достигла 3 триллионов долларов США. В 2022 году Apple заняла третье место в списке крупнейших компаний США Fortune 500. В списке крупнейших компаний мира Forbes Global 2000 Apple заняла 7-е место[14].
GOOGL;GOOGLE;Технологии; Инфраструктура;Google LLC  — транснациональная корпорация из США в составе холдинга Alphabet, инвестирующая в интернет-поиск, облачные вычисления и рекламные технологии. Google поддерживает и разрабатывает многочисленные интернет-сервисы и продукты и получает прибыль в первую очередь от рекламы через свою программу Ads. Она считается одной из технологических компаний «большой четверки» наряду с Amazon, Meta, Apple и Microsoft.
